19
16
20
15
18
21












NULL,2017-03-06 15:59:13,LUMINOSITY,19,NULL
NULL,2017-03-06 15:59:14,LUMINOSITY,16,NULL
NULL,2017-03-06 15:59:17,LUMINOSITY,20,NULL
NULL,2017-03-06 15:59:23,LUMINOSITY,15,NULL
NULL,2017-03-06 15:59:25,LUMINOSITY,18,NULL
NULL,2017-03-06 15:59:27,LUMINOSITY,21,NULL
NULL,2017-03-06 15:59:33,LUMINOSITY,17,NULL
NULL,2017-03-06 15:59:39,LUMINOSITY,20,NULL
NULL,2017-03-06 15:59:43,LUMINOSITY,23,NULL
NULL,2017-03-06 15:59:47,LUMINOSITY,19,NULL
NULL,2017-03-06 15:59:48,LUMINOSITY,16,NULL
